environment,participant,beta_vary,intercept_constant,rmse_beta,beta_both_vary,intercept_both_vary,rmse_both,beta_constant,intercept_vary,rmse_intercept
1,1,2.070000000000001,-3,9.3248931677517,0.3366101074139226,-2.202099609134059,41.09768326980975,0.3,-2.946093745564508,47.73887071664428
1,2,0.1921874999999997,-3,0.030925271360172684,0.27749999999999997,-2.9250000000000007,6.904302492072728,0.3,-5.850000286102299,0.13196817252331736
1,3,0.2850082397600635,-3,0.4163602550119947,0.2849999999991425,-2.9999999999979936,0.44242266702817296,0.3,-3.150000000002183,1.042073782318082
1,4,0.29999999999999993,-3,4.904756101605689,0.23109374999999965,-3.1171875000000027,0.19727841235821741,0.3,-4.2984289169311545,0.4668658777139349
1,5,0.1537353515624999,-3,1.2216595527726768,0.1830468749999995,-4.1126953125000085,1.7772085428564741,0.3,-3.1500686645507727,12.62817965486921
1,6,0.20812499999999973,-3,0.8075474533123767,0.2449217069149023,-4.021876287460321,0.8469653802349429,0.3,-5.2500735282898,0.9074894816586191
1,7,0.337500000027938,-3,1.2639395063358256,0.29994272232055585,-2.9988269805907963,3.1666674665769814,0.3,-2.1000000000174603,0.5318098059612865
1,8,0.34312499999912693,-3,1.1947972804762506,0.3562500000000002,-2.549999999999998,0.698024613174222,0.3,-1.9933593749978145,0.420085276200385
1,9,0.2137499999982535,-3,0.5727930661319114,0.2363598632812497,-3.714697265625005,0.8223535792358356,0.3,-3.749414062500002,3.3927535513281755
1,10,0.7650000000000002,-3,3.6158654737576015,0.480480465888977,-1.078549003601069,2.2102276404789767,0.3,0.3749999988736898,1.8169466592308252
1,11,0.16312499999999963,-3,1.3464939349979503,0.1581317410191942,-3.596875883269364,1.1514490302200533,0.3,-7.780737327039255,1.0310860093822607
1,12,0.28453125,-3,0.2973896924987675,0.28440330061370334,-3.3567559030700096,0.21778695743918067,0.3,-3.4875709532294437,0.3221864729581283
1,13,0.24749999999999311,-3,0.46447395698418337,0.28168579101562496,-3.5239013671875012,0.31095863506373267,0.3,-2.9999999955296515,2.173721187274639
1,14,0.285,-3,0.31633022703691765,0.3067478942873575,-3.075956726075183,0.26083580212379626,0.3,-3.4499816894532627,0.3020965528883527
1,15,0.3496902465802716,-3,0.8248966044847859,0.3515625,-2.690624999999999,0.16011785673906043,0.3,-3.1593750000001366,4.122161663366089
1,16,0.28499633789057044,-3,1.6053895556741786,0.3056263053449476,-2.98124574419718,0.8318441433270745,0.3,-2.822442644834518,0.8437059559519203
1,17,0.299300537109375,-3,3.3336013126008726,0.29953037024266044,-3.1101567150035603,3.109265432799988,0.3,-2.9953124642372124,3.205886800237163
1,18,0.41978050231933606,-3,0.6355061662022494,0.3487463378908936,-2.24838867186927,0.4574046640145775,0.3,-3.1324218727648603,5.596338413828688
1,19,0.19500000022351627,-3,1.0955101955713082,0.21914049197919672,-3.4529306892072755,0.815354258557706,0.3,-3.079687495529652,7.433659889470884
1,20,0.2714057922642643,-3,1.8101099025917204,0.30186035162776204,-3.272680648848662,2.222501863935271,0.3,-2.8569600105285637,2.900352466880169
1,21,0.24750000176019948,-3,0.08534953868075103,0.266445584334433,-3.300332614034417,0.03797639910285615,0.3,-4.199999713897708,0.09102161356366321
1,22,0.3225009155273437,-3,3.971868989718235,0.3787500000000016,-2.2499999999998765,0.20764409622795404,0.3,-3.075018315087072,5.916663770643853
1,23,0.19735107421880438,-3,0.13482752676417106,0.22031249949383858,-3.8179687558247064,0.1376423928672592,0.3,-2.9976745605468746,7.952602913240166
1,24,0.4049404764171052,-3,3.728499706578653,0.37497791290283244,-2.587485122680663,3.462694270635055,0.3,-3.089079666138241,8.160113330178065
1,25,0.2990625357627869,-3,0.6813919464773502,0.2755165099727924,-3.2628387450439176,0.23339905499971778,0.3,-3.525009119510652,0.2980499547573293
1,26,0.5705859375000069,-3,4.189760763992234,0.45936540737282583,-1.739147167385088,2.85294268088572,0.3,-2.7728027343749995,14.162842648186965
1,27,0.27562499999999995,-3,2.9571972188456916,0.27191894536700556,-3.0806762712924067,3.2837783508818448,0.3,-3.0,4.011881288468172
1,28,0.7031250000000007,-3,1.0558689148234404,0.39632812511551097,-0.953906248959215,0.6973162236559898,0.3,-2.817168045044235,16.489712519763817
1,29,0.2999707031245634,-3,0.26648212534763505,0.2953124999999769,-3.089062500000119,0.07712141597384459,0.3,-3.4499998569488537,0.10297846047304245
1,30,0.3075,-3,1.7747559287027594,0.3148582859915289,-3.000737216990159,1.4796940617774774,0.3,-2.868759155273437,1.592572593638259
1,31,0.23999999999999988,-3,2.7269987132239204,0.29999999999999993,-3.0,2.4441622917496413,0.3,-2.9624633610248567,2.654427989659081
1,32,0.3332812214456498,-3,0.9802614785453808,0.32050781250000004,-2.678906249999999,0.7584508063775821,0.3,-3.150290679931642,2.2809609530534565
1,33,0.3375000000000001,-3,0.9162945719299017,0.32726108883529537,-2.607356216139851,0.5910695208643967,0.3,-2.0250000000021764,0.8064527879511175
1,34,0.22453308105490555,-3,0.4173947228176668,0.2324798590792581,-3.451336667046524,0.05252929235664198,0.3,-3.1617184638977056,5.711946620067672
1,35,0.34546873580664406,-3,1.7277289233001443,0.3185119342803955,-2.910975837707519,1.4530284312782487,0.3,-3.018759155273438,3.6788587545905793
1,36,0.2924998819836764,-3,1.4454683208226922,0.29994140614574893,-3.0061523327151534,1.6318437782276396,0.3,-2.9276367187499996,2.5016497005132483
1,37,0.30381042122840884,-3,7.602718667289951,0.3214297483733981,-2.7271316477924525,6.036425520279401,0.3,-3.0375183105468793,7.314778077167632
1,38,0.3004687356948921,-3,2.3221678089855775,0.28007812500000007,-3.194531250000001,2.015677643809666,0.3,-2.999999982118611,2.443117411227012
1,39,0.3747656250000011,-3,0.8158297243978695,0.3221426582336427,-2.545442962646484,0.566445145733725,0.3,-2.2546729087829567,1.093119421307151
2,1,0.3421875000000002,-3,29.62043208724717,0.5085057361959763,0.31406076235631475,1.1122037752729237,0.3,-2.8306686379015438,33.16695309570001
2,2,0.20875476837201823,-3,0.8909994822383652,0.22499996312660414,-3.3375002267480474,0.8495179274545158,0.3,-3.0000732421875,6.417092555408524
2,3,0.3082617188058794,-3,9.771000708117972,0.3439632797241222,-2.901903533935438,6.602151283913513,0.3,-2.7749999988824294,9.664234970478851
2,4,0.31125366210948413,-3,7.976299782826032,0.3294725196529206,-2.961325590092863,6.786784611271913,0.3,-2.9999999821186067,9.180731790338262
2,5,0.18656249910593004,-3,0.26079199055911273,0.19894775390621847,-3.670751953125299,0.5903798802558343,0.3,-3.1734375,9.04101103742966
2,6,0.2433984374999998,-3,0.15589109041585186,0.2585144868493081,-3.663285711407662,0.2515093517799159,0.3,-2.98125,3.8136044397730355
2,7,0.3471098327636719,-3,1.001933347615039,0.3337556773427046,-2.868800058962906,0.45131337785476183,0.3,-2.961401367186408,1.6505224325586858
2,8,0.40640625000000047,-3,0.24786578095652836,0.3814178942679427,-2.6093032020900857,0.09821669087634854,0.3,-2.699999999997817,3.7399751323530457
2,9,0.29062499999999997,-3,0.9528304298512706,0.2877539042053252,-3.2034668020054804,0.9101608915857652,0.3,-3.1218658246099955,1.1029968771388061
2,10,0.34875000000000006,-3,20.205814425062673,0.32438964843750007,-2.6263916015624993,20.690468554967783,0.3,-2.887499931827187,23.223262684827326
2,11,0.22511718747206008,-3,2.1157738651635265,0.24275299913948378,-3.5830115397227953,1.8329797957509901,0.3,-5.024999856948858,2.063046250823037
2,12,0.5250000000000138,-3,2.732745912136462,0.4183856591919902,-2.463425869654743,1.0940174741039916,0.3,-3.0843750002793966,8.986738332258406
2,13,0.3900000000558795,-3,1.424157448652303,0.3370312500000001,-2.690624999999999,0.8689154387421396,0.3,-1.8744140624999912,1.1713261577066627
2,14,0.6468749997764827,-3,1.9919757166867957,0.31506226266170434,-2.398718168412232,11.852468602518076,0.3,-3.1336852937936786,16.53148626862094
2,15,0.5287495994707568,-3,0.4544542090821197,0.30000000000000004,-3.0,12.069116909360282,0.3,-2.7000000002793962,9.746167240724787
2,16,0.32988281250087315,-3,1.9069000743024802,0.31501713752746574,-2.8504012584686276,1.2900133998471044,0.3,-2.3625732421874988,1.588579648407234
2,17,0.45937506437300973,-3,0.36335499507188995,0.40982548713684147,-2.3409886121749883,0.3439759446317286,0.3,-0.9092285156250121,0.446873699402524
2,18,0.3862500000000001,-3,0.24038781511251286,0.3241323852539064,-2.321667480468749,0.18368989820078838,0.3,-3.1125000000000003,5.214406178699718
2,19,0.24938233125954867,-3,0.214617446131939,0.2765624957076515,-3.276562564307128,0.27823685156381134,0.3,-3.0744140625000007,2.4111398259583168
2,20,0.43453125044702823,-3,2.7569372733274973,0.32914963133633146,-2.8844411406666035,6.186049120349032,0.3,-3.1136718749956342,9.643089737736952
2,21,0.3148860169015825,-3,4.141028687809448,0.2632286978543149,-3.511872063794069,0.29553757870397995,0.3,-4.3499999999997305,0.2500558317989173
2,22,0.6450000000000001,-3,0.5341811615724372,0.532438545227051,-2.1280272960662856,0.8219190918777097,0.3,-2.8499999999999996,12.477802788667862
2,23,0.27140441894542167,-3,0.3337513643422923,0.2798375952243804,-3.234547448158266,0.31829295744091185,0.3,-4.0593749999994575,0.15127710431056737
2,24,0.4757227134704592,-3,0.17338957885930714,0.3731250000000007,-2.6578125000000004,1.5209153418797126,0.3,-2.9613281249999996,7.812727040312088
2,25,0.49499908447265645,-3,0.23069723109705045,0.3758660284126546,-1.6225534489157547,0.12911299642691748,0.3,-0.7869094848720072,0.3049480783533494
2,26,0.764999999999127,-3,1.1230254904915815,0.3198046874999999,-2.8048828125,19.548042607273455,0.3,0.6181641340255822,0.19225701930178807
2,27,0.31499999821186053,-3,0.9862170923231505,0.3036328124937914,-2.9789062498692758,0.7792000974338406,0.3,-2.695312428474425,0.8217938887945955
2,28,0.3295312502235175,-3,16.923521614348424,0.4293750000000003,-1.0499999999999954,0.7603061056811525,0.3,-3.0017578125,18.62679515707068
2,29,0.35162097931606695,-3,0.3555660490905317,0.3130513133555973,-2.6622105468704707,0.39033301580098745,0.3,-2.554687499999997,0.39005471775995665
2,30,0.3417187496717089,-3,6.0643842550104745,0.31404782185114744,-2.945800658104463,5.467311124744205,0.3,-2.924999284814248,5.8777262992887085
2,31,0.3137987119518221,-3,4.796700701067756,0.3,-3.0,4.005157541440936,0.3,-3.0374998569488523,4.359223438142996
2,32,0.4668750572763385,-3,1.7736586483676624,0.37839846214279504,-1.6453127570450274,0.7004955688502077,0.3,-3.30029275417328,12.344827103552662
2,33,0.3225,-3,21.2031864427271,0.5086293983459473,-0.618197822570783,3.4713650406338097,0.3,0.9000000000000092,5.351435531406718
2,34,0.2615624999999999,-3,0.2967582152038972,0.29249999999997317,-3.450000000000751,0.19606542646997976,0.3,-3.932812500000002,0.13935981957595753
2,35,0.3487783808988752,-3,0.8160687611632281,0.34974609375,-2.538281249999999,0.5508667416520558,0.3,-3.1500000002772146,4.751266071438573
2,36,0.314999999968568,-3,7.048599106660959,0.36182258605957035,-2.325851440429686,0.9801564891973691,0.3,-3.0796852109022437,8.086873616631541
2,37,0.47624988555908265,-3,2.5421206986564906,0.41535095193188953,-2.4924430836410485,1.801084920603925,0.3,-3.112435913085938,8.403997355810144
2,38,0.3150004577636719,-3,3.774846119697972,0.31742980387135017,-2.9643677104883004,3.4995834065621167,0.3,-3.0389648259384554,4.379408462367816
2,39,0.49476751327514656,-3,2.966981593075124,0.4568117444962271,-2.683778966031963,2.7425085699137366,0.3,-2.924981690011918,10.712592120268264
